verification_id,session_id,ai_id,self_assessed_vectors,grounded_vectors,calibration_gaps,grounded_coverage,overall_calibration_score,evidence_count,sources_available,sources_failed,domain,goal_id,created_at
fc3d77d8-f833-4a4a-8402-0d2df5aaacc6,1d5e5d98-db51-44af-b647-46cb07561384,claude-code,"{""engagement"": 0.85, ""know"": 0.82, ""do"": 0.8, ""context"": 0.85, ""clarity"": 0.8, ""coherence"": 0.78, ""signal"": 0.75, ""density"": 0.6, ""state"": 0.85, ""change"": 0.7, ""completion"": 0.8, ""impact"": 0.7, ""uncertainty"": 0.15}","{""signal"": {""value"": 1.0, ""confidence"": 0.55, ""evidence_count"": 2, ""source"": ""artifacts""}, ""know"": {""value"": 1.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""artifacts""}, ""uncertainty"": {""value"": 0.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""artifacts""}, ""context"": {""value"": 1.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""sentinel""}}","{""signal"": -0.25, ""know"": -0.18, ""uncertainty"": 0.15, ""context"": -0.15}",0.3076923076923077,0.1825,4,"[""artifacts"", ""sentinel""]",[],,,1769883070.0
fcc9aba2-767c-4782-a8bd-55326eb2fd8a,a02f6d2a-b534-4966-ab84-ce7bc41f454f,claude-code,"{""engagement"": 0.85, ""know"": 0.88, ""do"": 0.85, ""context"": 0.85, ""clarity"": 0.85, ""coherence"": 0.8, ""signal"": 0.75, ""density"": 0.65, ""state"": 0.8, ""change"": 0.75, ""completion"": 0.9, ""impact"": 0.75, ""uncertainty"": 0.15}","{""signal"": {""value"": 1.0, ""confidence"": 0.55, ""evidence_count"": 2, ""source"": ""artifacts""}, ""know"": {""value"": 1.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""artifacts""}, ""uncertainty"": {""value"": 0.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""artifacts""}}","{""signal"": -0.25, ""know"": -0.12, ""uncertainty"": 0.15}",0.23076923076923078,0.1733,3,"[""artifacts""]",[],,,1769939618.0
91eab8ff-bcd5-4e92-9893-691640b04a0c,a46e16f8-5f07-4571-95f0-2ba416264a5d,claude-code,"{""engagement"": 0.9, ""know"": 0.88, ""do"": 0.92, ""context"": 0.85, ""clarity"": 0.85, ""coherence"": 0.88, ""signal"": 0.82, ""density"": 0.75, ""state"": 0.85, ""change"": 0.8, ""completion"": 0.95, ""impact"": 0.8, ""uncertainty"": 0.12}","{""completion"": {""value"": 1.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""goals""}, ""do"": {""value"": 1.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""goals""}, ""know"": {""value"": 0.5, ""confidence"": 0.7, ""evidence_count"": 2, ""source"": ""artifacts""}, ""signal"": {""value"": 1.0, ""confidence"": 0.55, ""evidence_count"": 2, ""source"": ""artifacts""}, ""uncertainty"": {""value"": 0.27272727272727276, ""confidence"": 0.55, ""evidence_count"": 2, ""source"": ""artifacts""}, ""context"": {""value"": 1.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""sentinel""}}","{""completion"": -0.05, ""do"": -0.08, ""know"": 0.38, ""signal"": -0.18, ""uncertainty"": -0.1527, ""context"": -0.15}",0.46153846153846156,0.1655,7,"[""goals"", ""artifacts"", ""sentinel""]",[],,,1769943775.0
0aed5e4e-3e1e-4e2b-9d2f-531cee556e62,bdc94bf1-274e-413c-b6f4-cc8b970b97f9,claude-code,"{""engagement"": 0.95, ""know"": 0.85, ""do"": 0.0, ""context"": 0.8, ""clarity"": 0.9, ""coherence"": 0.85, ""signal"": 0.8, ""density"": 0.85, ""state"": 0.8, ""change"": 0.3, ""completion"": 0.9, ""impact"": 0.7, ""uncertainty"": 0.15}","{""context"": {""value"": 1.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""sentinel""}}","{""context"": -0.2}",0.07692307692307693,0.2,1,"[""sentinel""]",[],,,1769945929.0
34c4173a-034a-45c4-bf49-d46e21532a88,95fb76e8-d82b-46f0-8c49-69a33a7495db,claude-code,"{""engagement"": 0.95, ""know"": 0.88, ""do"": 0.85, ""context"": 0.9, ""clarity"": 0.9, ""coherence"": 0.9, ""signal"": 0.85, ""density"": 0.6, ""state"": 0.85, ""change"": 0.5, ""completion"": 0.3, ""impact"": 0.85, ""uncertainty"": 0.12}","{""completion"": {""value"": 0.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""goals""}, ""do"": {""value"": 0.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""goals""}}","{""completion"": 0.3, ""do"": 0.85}",0.15384615384615385,0.575,1,"[""goals""]",[],,,1769948860.0
83e9ea99-2b58-4039-8d98-4ecaa43d2dcc,a6e1177d-d392-4fdb-972a-e976ae8fc264,claude-code,"{""engagement"": 0.85, ""know"": 0.85, ""do"": 0.85, ""context"": 0.85, ""clarity"": 0.85, ""coherence"": 0.8, ""signal"": 0.75, ""density"": 0.7, ""state"": 0.8, ""change"": 0.7, ""completion"": 0.95, ""impact"": 0.75, ""uncertainty"": 0.15}","{""signal"": {""value"": 1.0, ""confidence"": 0.55, ""evidence_count"": 2, ""source"": ""artifacts""}, ""know"": {""value"": 1.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""artifacts""}, ""uncertainty"": {""value"": 0.18181818181818182, ""confidence"": 0.55, ""evidence_count"": 2, ""source"": ""artifacts""}, ""context"": {""value"": 0.3333333333333333, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""sentinel""}}","{""signal"": -0.25, ""know"": -0.15, ""uncertainty"": -0.0318, ""context"": 0.5167}",0.3076923076923077,0.2371,5,"[""artifacts"", ""sentinel""]",[],,,1769950619.0
c54b5c0a-dfb7-4d7a-a50a-9cec868f2427,fadfb1b6-9594-43c1-b218-32c17e275689,claude-code,"{""engagement"": 0.9, ""know"": 0.9, ""do"": 0.9, ""context"": 0.9, ""clarity"": 0.9, ""coherence"": 0.9, ""signal"": 0.8, ""density"": 0.7, ""state"": 0.85, ""change"": 0.85, ""completion"": 0.95, ""impact"": 0.85, ""uncertainty"": 0.1}","{""signal"": {""value"": 1.0, ""confidence"": 0.55, ""evidence_count"": 2, ""source"": ""artifacts""}, ""know"": {""value"": 1.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""artifacts""}, ""uncertainty"": {""value"": 0.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""artifacts""}, ""context"": {""value"": 1.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""sentinel""}}","{""signal"": -0.2, ""know"": -0.1, ""uncertainty"": 0.1, ""context"": -0.1}",0.3076923076923077,0.125,4,"[""artifacts"", ""sentinel""]",[],,,1769951059.0
b707f720-8bf7-4c7e-a5a9-2d52cd2ff715,84f1b8b5-241a-48b0-8d20-8d4eab1f0146,claude-code,"{""engagement"": 0.9, ""know"": 0.92, ""do"": 0.95, ""context"": 0.9, ""clarity"": 0.88, ""coherence"": 0.9, ""signal"": 0.85, ""density"": 0.35, ""state"": 0.9, ""change"": 0.85, ""completion"": 0.95, ""impact"": 0.9, ""uncertainty"": 0.1}","{""signal"": {""value"": 1.0, ""confidence"": 0.55, ""evidence_count"": 2, ""source"": ""artifacts""}, ""know"": {""value"": 1.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""artifacts""}, ""uncertainty"": {""value"": 0.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""artifacts""}}","{""signal"": -0.15, ""know"": -0.08, ""uncertainty"": 0.1}",0.23076923076923078,0.11,3,"[""artifacts""]",[],,,1769954078.0
85e70a90-a6e3-43f9-8915-dafea6e0290d,dff47577-4480-44c4-980e-533df7c6269f,claude-code,"{""engagement"": 0.9, ""know"": 0.85, ""do"": 0.88, ""context"": 0.85, ""clarity"": 0.82, ""coherence"": 0.85, ""signal"": 0.8, ""density"": 0.7, ""state"": 0.85, ""change"": 0.75, ""completion"": 0.95, ""impact"": 0.8, ""uncertainty"": 0.12}","{""signal"": {""value"": 1.0, ""confidence"": 0.55, ""evidence_count"": 2, ""source"": ""artifacts""}, ""know"": {""value"": 1.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""artifacts""}, ""uncertainty"": {""value"": 0.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""artifacts""}, ""context"": {""value"": 1.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""sentinel""}}","{""signal"": -0.2, ""know"": -0.15, ""uncertainty"": 0.12, ""context"": -0.15}",0.3076923076923077,0.155,4,"[""artifacts"", ""sentinel""]",[],,,1769960802.0
782458b2-a6e9-4d11-a84c-3b10a5e27e6e,bc16edc2-06c6-4f7d-89b9-29c0d9bc4552,claude-code,"{""engagement"": 0.95, ""know"": 0.88, ""do"": 0.85, ""context"": 0.9, ""clarity"": 0.9, ""coherence"": 0.9, ""signal"": 0.85, ""density"": 0.75, ""state"": 0.85, ""change"": 0.8, ""completion"": 1.0, ""impact"": 0.95, ""uncertainty"": 0.1}","{""completion"": {""value"": 1.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""goals""}, ""do"": {""value"": 1.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""goals""}, ""signal"": {""value"": 1.0, ""confidence"": 0.55, ""evidence_count"": 2, ""source"": ""artifacts""}, ""know"": {""value"": 1.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""artifacts""}, ""uncertainty"": {""value"": 0.27272727272727276, ""confidence"": 0.55, ""evidence_count"": 2, ""source"": ""artifacts""}, ""context"": {""value"": 1.0, ""confidence"": 0.7, ""evidence_count"": 1, ""source"": ""sentinel""}}","{""completion"": 0.0, ""do"": -0.15, ""signal"": -0.15, ""know"": -0.12, ""uncertainty"": -0.1727, ""context"": -0.1}",0.46153846153846156,0.1154,6,"[""goals"", ""artifacts"", ""sentinel""]",[],,,1769970267.0
