id,session_id,goal_id,subtask_id,finding,created_timestamp,finding_data,subject,impact
2a1ac80f-8b35-4612-9df0-69c26daf5bd4,c62c67cf-2124-4a3b-9ef6-bcd0af4ba4f0,,,"TEST: Dual-scope Phase 1 implementation working",1767100174.78279,"{""finding"": ""TEST: Dual-scope Phase 1 implementation working"", ""goal_id"": null, ""subtask_id"": null, ""impact"": 0.95, ""timestamp"": 1767100174.782788}",,0.95
1235a80f-9990-4cb5-8a6f-3cdd8400e991,c62c67cf-2124-4a3b-9ef6-bcd0af4ba4f0,dd1b8fd2-79aa-42ea-9e86-bfdbb84f2c73,,"Phase 1 complete: Dual-scope architecture implemented and tested",1767100181.86514,"{""finding"": ""Phase 1 complete: Dual-scope architecture implemented and tested"", ""goal_id"": ""dd1b8fd2-79aa-42ea-9e86-bfdbb84f2c73"", ""subtask_id"": null, ""impact"": 0.95, ""timestamp"": 1767100181.865141}",,0.95
2191c705-2d2c-4125-9282-ec894e23391f,c62c67cf-2124-4a3b-9ef6-bcd0af4ba4f0,dd1b8fd2-79aa-42ea-9e86-bfdbb84f2c73,,"Dual-log test: This should appear in BOTH session and project tables",1767100188.22214,"{""finding"": ""Dual-log test: This should appear in BOTH session and project tables"", ""goal_id"": ""dd1b8fd2-79aa-42ea-9e86-bfdbb84f2c73"", ""subtask_id"": null, ""impact"": 0.95, ""timestamp"": 1767100188.222138}",,0.95
db170de6-d044-457d-93c6-65d004964130,c62c67cf-2124-4a3b-9ef6-bcd0af4ba4f0,dd1b8fd2-79aa-42ea-9e86-bfdbb84f2c73,,"Auto-inference test: only session-id provided, should default to session scope",1767100194.17153,"{""finding"": ""Auto-inference test: only session-id provided, should default to session scope"", ""goal_id"": ""dd1b8fd2-79aa-42ea-9e86-bfdbb84f2c73"", ""subtask_id"": null, ""impact"": 0.95, ""timestamp"": 1767100194.1715307}",,0.95
1ace24e8-ff7d-4bc9-88e0-dbab963bcec1,c62c67cf-2124-4a3b-9ef6-bcd0af4ba4f0,dd1b8fd2-79aa-42ea-9e86-bfdbb84f2c73,,"VERIFIED: Goals system working correctly. goals-list and goals-get-subtasks commands functional. No issues detected similar to Rovo's report.",1767100422.62358,"{""finding"": ""VERIFIED: Goals system working correctly. goals-list and goals-get-subtasks commands functional. No issues detected similar to Rovo's report."", ""goal_id"": ""dd1b8fd2-79aa-42ea-9e86-bfdbb84f2c73"", ""subtask_id"": null, ""impact"": 0.98, ""timestamp"": 1767100422.6235752}",,0.98
9e57763b-2b0b-44a0-9119-804bb267eb27,c62c67cf-2124-4a3b-9ef6-bcd0af4ba4f0,dd1b8fd2-79aa-42ea-9e86-bfdbb84f2c73,,"Session handoff complete. Dual-scope Phase 1 fully implemented and tested. Handoff document saved to DUAL_SCOPE_PHASE1_HANDOFF.md",1767100476.12505,"{""finding"": ""Session handoff complete. Dual-scope Phase 1 fully implemented and tested. Handoff document saved to DUAL_SCOPE_PHASE1_HANDOFF.md"", ""goal_id"": ""dd1b8fd2-79aa-42ea-9e86-bfdbb84f2c73"", ""subtask_id"": null, ""impact"": 0.98, ""timestamp"": 1767100476.1250517}",,0.98
dfffa5b1-fd0d-4bf3-b07c-9751e8acc60d,a72f97f2-a433-4101-800b-539dfcc3fdb5,26073ede-31f0-4eda-b430-0af510e79bfa,,"Test finding",1767100786.56262,"{""finding"": ""Test finding"", ""goal_id"": ""26073ede-31f0-4eda-b430-0af510e79bfa"", ""subtask_id"": null, ""impact"": 0.8, ""timestamp"": 1767100786.5626242}",,0.8
a95c02b2-802d-470b-9b2a-431e2be3f6af,e97f042f-11d7-4d75-bb9a-6e83225e282e,,,"Extended dual-scope to unknown-log, deadend-log, mistake-log. All 4 breadcrumb handlers now support --scope flag with smart inference. Tested all 3 scope modes (session/project/both).",1767100993.80158,"{""finding"": ""Extended dual-scope to unknown-log, deadend-log, mistake-log. All 4 breadcrumb handlers now support --scope flag with smart inference. Tested all 3 scope modes (session/project/both)."", ""goal_id"": null, ""subtask_id"": null, ""impact"": 0.7, ""timestamp"": 1767100993.801581}",,0.7
fca91779-b951-4839-b230-8e86949a5e3e,4d427e83-2bea-473b-b790-7af8cc5dc48c,eaadd1bf-49c8-41e1-8f01-227950c2ef50,,"TEST 1: This is a SESSION-SCOPED finding. Should only appear in session_findings table.",1767103778.11676,"{""finding"": ""TEST 1: This is a SESSION-SCOPED finding. Should only appear in session_findings table."", ""goal_id"": ""eaadd1bf-49c8-41e1-8f01-227950c2ef50"", ""subtask_id"": null, ""impact"": 0.8, ""timestamp"": 1767103778.1167626}",,0.8
cfd8d64c-319b-45f6-8a6c-0e39ae9248bf,4d427e83-2bea-473b-b790-7af8cc5dc48c,eaadd1bf-49c8-41e1-8f01-227950c2ef50,,"TEST 3: This is DUAL-LOGGED. Should appear in BOTH session_findings AND project_findings tables.",1767103778.57909,"{""finding"": ""TEST 3: This is DUAL-LOGGED. Should appear in BOTH session_findings AND project_findings tables."", ""goal_id"": ""eaadd1bf-49c8-41e1-8f01-227950c2ef50"", ""subtask_id"": null, ""impact"": 0.8, ""timestamp"": 1767103778.5790899}",,0.8
70c72347-4a33-48d8-bd60-2c31bbe415d7,4d427e83-2bea-473b-b790-7af8cc5dc48c,eaadd1bf-49c8-41e1-8f01-227950c2ef50,,"DUAL-SCOPE TESTING COMPLETE: All breadcrumb types (findings, unknowns, mistakes, dead_ends) successfully tested with session/project/both scopes. Session-snapshot correctly aggregates and labels both scopes. Verified with 4 findings (2+2), 2 unknowns (1+1), 2 mistakes (1+1), 1 dead_end (1+0).",1767103844.84299,"{""finding"": ""DUAL-SCOPE TESTING COMPLETE: All breadcrumb types (findings, unknowns, mistakes, dead_ends) successfully tested with session/project/both scopes. Session-snapshot correctly aggregates and labels both scopes. Verified with 4 findings (2+2), 2 unknowns (1+1), 2 mistakes (1+1), 1 dead_end (1+0)."", ""goal_id"": ""eaadd1bf-49c8-41e1-8f01-227950c2ef50"", ""subtask_id"": null, ""impact"": 0.8, ""timestamp"": 1767103844.8429866}",,0.8
47ceff70-f462-4693-92b6-1b7d0428b31e,4d427e83-2bea-473b-b790-7af8cc5dc48c,eaadd1bf-49c8-41e1-8f01-227950c2ef50,,"BREAKTHROUGH PRESERVED: Recovered noetic filter docs from git history (commits a8449742, bebf704a) and archived to ../empirica-internal/noetic-filter/. Two files recovered: NOETIC_FILTER_ENTERPRISE.md (25KB) and NOETIC_FILTER_ANALYSIS.md (9.3KB). Game-changing IP now safely preserved in internal repo.",1767109322.9197,"{""finding"": ""BREAKTHROUGH PRESERVED: Recovered noetic filter docs from git history (commits a8449742, bebf704a) and archived to ../empirica-internal/noetic-filter/. Two files recovered: NOETIC_FILTER_ENTERPRISE.md (25KB) and NOETIC_FILTER_ANALYSIS.md (9.3KB). Game-changing IP now safely preserved in internal repo."", ""goal_id"": ""eaadd1bf-49c8-41e1-8f01-227950c2ef50"", ""subtask_id"": null, ""impact"": 0.98, ""timestamp"": 1767109322.9197028}",,0.98
cff168e0-2f65-44bb-9033-5d10beabc33b,a6045f10-156d-4475-969d-6c41fba67b8d,90237fe5-54c0-438c-86db-b0f3cd500b0b,,"CRITICAL: Tool name mismatch between MCP server and epistemic middleware. Middleware safe_tools uses underscores (preflight_submit, postflight_submit, goals_create, session_resume) but server.py defines tools with different names (submit_preflight_assessment, submit_postflight_assessment, create_goal, resume_previous_session). This means middleware will NOT bypass these tools as intended - they'll all go through epistemic routing unnecessarily.",1767111048.52305,"{""finding"": ""CRITICAL: Tool name mismatch between MCP server and epistemic middleware. Middleware safe_tools uses underscores (preflight_submit, postflight_submit, goals_create, session_resume) but server.py defines tools with different names (submit_preflight_assessment, submit_postflight_assessment, create_goal, resume_previous_session). This means middleware will NOT bypass these tools as intended - they'll all go through epistemic routing unnecessarily."", ""goal_id"": ""90237fe5-54c0-438c-86db-b0f3cd500b0b"", ""subtask_id"": null, ""impact"": 0.95, ""timestamp"": 1767111048.5230458}",,0.95
ec6f0280-6140-44bf-9f8a-08a0ba45a487,a6045f10-156d-4475-969d-6c41fba67b8d,90237fe5-54c0-438c-86db-b0f3cd500b0b,,"MCP server has 4 duplicate tool definitions with identical names but different schemas: project_bootstrap (lines 398, 699), finding_log (234, 712), unknown_log (248, 728), deadend_log (277, 744). First is session-scoped, second is project-scoped. MCP protocol doesn't support overloading - clients will see last definition only. This breaks session-scoped variants.",1767111092.62863,"{""finding"": ""MCP server has 4 duplicate tool definitions with identical names but different schemas: project_bootstrap (lines 398, 699), finding_log (234, 712), unknown_log (248, 728), deadend_log (277, 744). First is session-scoped, second is project-scoped. MCP protocol doesn't support overloading - clients will see last definition only. This breaks session-scoped variants."", ""goal_id"": ""90237fe5-54c0-438c-86db-b0f3cd500b0b"", ""subtask_id"": null, ""impact"": 0.9, ""timestamp"": 1767111092.6286244}",,0.9
637eaf47-a23b-42fa-bd0f-0c7b5705d943,a6045f10-156d-4475-969d-6c41fba67b8d,90237fe5-54c0-438c-86db-b0f3cd500b0b,,"Epistemic middleware architecture audit complete: 3 components (router.py, state_machine.py, modes.py) + middleware.py wrapper. Router uses 5 priority-based modes (clarify→load_context→investigate→confident_impl→cautious_impl). State machine starts with clarity=0.5, threshold=0.6, causing 'clarify' mode on first request. Safe tools whitelist (15 tools) added to bypass middleware for known/stateless tools. However, whitelist uses wrong tool names (preflight_submit vs submit_preflight_assessment, etc.), so bypass FAILS for all except 3 stateless tools. Result: All stateful tools still go through unnecessary epistemic routing.",1767111135.16266,"{""finding"": ""Epistemic middleware architecture audit complete: 3 components (router.py, state_machine.py, modes.py) + middleware.py wrapper. Router uses 5 priority-based modes (clarify\u2192load_context\u2192investigate\u2192confident_impl\u2192cautious_impl). State machine starts with clarity=0.5, threshold=0.6, causing 'clarify' mode on first request. Safe tools whitelist (15 tools) added to bypass middleware for known/stateless tools. However, whitelist uses wrong tool names (preflight_submit vs submit_preflight_assessment, etc.), so bypass FAILS for all except 3 stateless tools. Result: All stateful tools still go through unnecessary epistemic routing."", ""goal_id"": ""90237fe5-54c0-438c-86db-b0f3cd500b0b"", ""subtask_id"": null, ""impact"": 0.92, ""timestamp"": 1767111135.1626558}",,0.92
